Iteration Times, 267, Error, 0.961238, MSE, 0.271468
Iteration Times, 268, Error, 0.960173, MSE, 0.271350
Iteration Times, 269, Error, 0.958595, MSE, 0.271232
Iteration Times, 270, Error, 0.957084, MSE, 0.271114
Iteration Times, 271, Error, 0.955530, MSE, 0.270995
Iteration Times, 272, Error, 0.954581, MSE, 0.270876
Iteration Times, 273, Error, 0.952616, MSE, 0.270756
Iteration Times, 274, Error, 0.950941, MSE, 0.270636
Iteration Times, 275, Error, 0.949741, MSE, 0.270515
Iteration Times, 276, Error, 0.947800, MSE, 0.270393
Iteration Times, 277, Error, 0.945990, MSE, 0.270271
Iteration Times, 278, Error, 0.944507, MSE, 0.270148
Iteration Times, 279, Error, 0.942602, MSE, 0.270025
Iteration Times, 280, Error, 0.940645, MSE, 0.269900
Iteration Times, 281, Error, 0.938631, MSE, 0.269775
Iteration Times, 282, Error, 0.937274, MSE, 0.269649
Iteration Times, 283, Error, 0.934871, MSE, 0.269522
Iteration Times, 284, Error, 0.932690, MSE, 0.269394
Iteration Times, 285, Error, 0.930992, MSE, 0.269265
Iteration Times, 286, Error, 0.928627, MSE, 0.269136
Iteration Times, 287, Error, 0.926264, MSE, 0.269005
Iteration Times, 288, Error, 0.923831, MSE, 0.268873
Iteration Times, 289, Error, 0.922315, MSE, 0.268740
Iteration Times, 290, Error, 0.919313, MSE, 0.268606
Iteration Times, 291, Error, 0.916675, MSE, 0.268470
Iteration Times, 292, Error, 0.914762, MSE, 0.268334
Iteration Times, 293, Error, 0.911788, MSE, 0.268196
Iteration Times, 294, Error, 0.908910, MSE, 0.268057
Iteration Times, 295, Error, 0.905953, MSE, 0.267916
Iteration Times, 296, Error, 0.903888, MSE, 0.267774
Iteration Times, 297, Error, 0.900830, MSE, 0.267631
Iteration Times, 298, Error, 0.899662, MSE, 0.267488
Iteration Times, 299, Error, 0.895989, MSE, 0.267342
Iteration Times, 300, Error, 0.894783, MSE, 0.267197
Iteration Times, 301, Error, 0.890985, MSE, 0.267049
Iteration Times, 302, Error, 0.889737, MSE, 0.266901
Iteration Times, 303, Error, 0.885817, MSE, 0.266751
Iteration Times, 304, Error, 0.884525, MSE, 0.266601
Iteration Times, 305, Error, 0.880485, MSE, 0.266449
Iteration Times, 306, Error, 0.880150, MSE, 0.266297
Iteration Times, 307, Error, 0.873778, MSE, 0.266141
Iteration Times, 308, Error, 0.874857, MSE, 0.265987
Iteration Times, 309, Error, 0.867863, MSE, 0.265829
Iteration Times, 310, Error, 0.869374, MSE, 0.265672
Iteration Times, 311, Error, 0.861803, MSE, 0.265511
Iteration Times, 312, Error, 0.863699, MSE, 0.265352
Iteration Times, 313, Error, 0.855604, MSE, 0.265188
Iteration Times, 314, Error, 0.857829, MSE, 0.265026
Iteration Times, 315, Error, 0.849275, MSE, 0.264859
Iteration Times, 316, Error, 0.851761, MSE, 0.264694
Iteration Times, 317, Error, 0.842827, MSE, 0.264524
Iteration Times, 318, Error, 0.845493, MSE, 0.264357
Iteration Times, 319, Error, 0.836272, MSE, 0.264184
Iteration Times, 320, Error, 0.839021, MSE, 0.264014
Iteration Times, 321, Error, 0.829622, MSE, 0.263837
Iteration Times, 322, Error, 0.832342, MSE, 0.263664
Iteration Times, 323, Error, 0.822894, MSE, 0.263485
